title,release_date,genres,language,description,poster_path,tagline,runtime,rating,vote_count,movieId
The Truth About Cats & Dogs,1996-04-26,Comedy|Romance,en,A successful veterinarian and radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.,https://image.tmdb.org/t/p/w500/iECTzpGdAMrkEeoYvuYsCxdmW2G.jpg,Brian's about to discover the woman he loves isn't the woman he loves.,93.0,6.055,327.0,111
Flipper,1996-05-17,Adventure|Family,en,"Sandy Ricks is sent by his mom to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment until a new friend comes into his life, a dolphin named Flipper, that brings uncle and nephew together and leads Sandy on the summer adventure of a lifetime.",https://image.tmdb.org/t/p/w500/c3KEzecZ5oE6CpSrWX6wCLrBJbf.jpg,This summer it's finally safe to go back in the water.,95.0,5.5,323.0,112
The Horseman on the Roof,1995-09-20,Adventure|Romance|History|Drama,fr,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",https://image.tmdb.org/t/p/w500/tsmwnxi8hGXQTNVqBRCAVsfeGON.jpg,,135.0,6.493,145.0,113
Wallace & Gromit: The Best of Aardman Animation,1996-06-14,Family|Animation|Comedy,en,"Anthology of Aardman Animation short films released in theaters in 1996, centered on the new release of the third Wallace & Gromit short, ""A Close Shave.""  Includes: ""A Close Shave,"" ""Creature Comforts"" and ""Heat Electric Commercials"" by Nick Park; ""Rex the Runt: How Dinosaurs Became Extinct"", ""Rex the Runt: Dreams"" and ""Ident"" by Richard Goleszowski; ""Wat's Pig"" and ""My Baby Just Cares For Me"" by Peter Lord; ""Early Bird"" by Peter Lord and David Sproxton; ""Pib and Pog"" directed by Peter Peake",https://image.tmdb.org/t/p/w500/tWkYclnnChwoMMBFECsEjd5hb77.jpg,The Best of Aardman Animation,75.0,7.6,5.0,114
"The Haunted World of Edward D. Wood, Jr.",1996-05-01,Documentary,en,"Often called the worst director in the history of cinema, Ed Wood is nevertheless a beloved figure among cult-film aficionados for his oddball productions. This documentary takes a look back at Wood's unique career at the margins of 1950s Hollywood, speaking to those who loved him and hated him. Bela Lugosi Jr. discusses his father's work in the abysmal ""Plan 9 From Outer Space,"" while a Baptist reverend recalls how he was tricked into financing the film.",https://image.tmdb.org/t/p/w500/1iHw2fqWftJDtIGgos2aiOR8anm.jpg,Can your MIND stand the SHOCKING TRUTH?,112.0,7.6,11.0,115
Cold Comfort Farm,1995-01-01,Comedy|Romance,en,"In this adaptation of the satirical British novel, Flora Poste, a plucky London society girl orphaned at age 19, finds a new home with some rough relatives, the Starkadders of Cold Comfort Farm. With a take-charge attitude and some encouragement from her mischievous friend, Mary, Flora changes the Starkadders' lives forever when she settles into their rustic estate, bringing the backward clan up to date and finding inspiration for her novel in the process.",https://image.tmdb.org/t/p/w500/fkPm7MQhn3YqcRDM9qFDKNHiw7D.jpg,She discovered a new branch of her family tree... the one with all the nuts.,95.0,6.777,75.0,116
The Rock,1996-06-07,Action|Adventure|Thriller,en,"When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down.",https://image.tmdb.org/t/p/w500/j5mxLNWjUlXUUk8weFBtnF4afIR.jpg,Alcatraz. Only one man has ever broken out. Now five million lives depend on two men breaking in.,137.0,7.136,4883.0,117
Twister,1996-05-10,Action|Adventure|Drama,en,"An unprecedented series of violent tornadoes is sweeping across Oklahoma. Tornado chasers, headed by Dr. Jo Harding, attempt to release a groundbreaking device that will allow them to track them and create a more advanced warning system. They are joined by Jo's soon to be ex-husband Bill, a former tornado chaser himself, and his girlfriend Melissa.",https://image.tmdb.org/t/p/w500/d4ie3f6QTvNw40V770Uzo87SDZn.jpg,Don't breathe. Don't look back.,113.0,6.543,3597.0,118
Maya Lin: A Strong Clear Vision,1995-11-10,Documentary,en,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.,https://image.tmdb.org/t/p/w500/fqYvHdWNV84yF7zPV3ENHOZ2Jow.jpg,The story of the Vietnam Veterans Memorial and its inspiring creator.,83.0,7.0,8.0,119
Striptease,1996-06-28,Comedy|Crime|Drama,en,"Bounced from her job, Erin Grant needs money if she's to have any chance of winning back custody of her child. But, eventually, she must confront the naked truth: to take on the system, she'll have to take it all off. Erin strips to conquer, but she faces unintended circumstances when a hound dog of a Congressman zeroes in on her and sharpens the shady tools at his fingertips, including blackmail and murder.",https://image.tmdb.org/t/p/w500/4zMy6R7acotCmGoDk4sjzRtDwKn.jpg,Some people get into trouble no matter what they wear.,115.0,5.558,1112.0,120
Independence Day: The ID4 Invasion,1996-06-30,Science Fiction|Action,en,"A ""mockumentary"" of the alien invasion during Independence Day. Barry Nolan hosts the programme, the first 9 minutes of which are a spoof news report of the events of the film. The middle bit is a discussion of the film by cast and crew, and at the end various scientists and politicians discuss what would happen if real aliens arrive on Earth.",https://image.tmdb.org/t/p/w500/gw01HpYoNXZbhG6GBQq8yGYPxnL.jpg,,22.0,6.4,11.0,121
The Cable Guy,1996-06-10,Comedy|Drama|Thriller,en,"When recently single Steven moves into his new apartment, cable guy Chip comes to hook him up—and doesn't let go. Initially, Chip is just overzealous in his desire to be Steven's pal, but when Steven tries to end the 'friendship', Chip shows his dark side. He begins stalking Steven, who's left to fend for himself because no one else can believe Chip's capable of such behaviour.",https://image.tmdb.org/t/p/w500/YJt9l3RdrRohI95btQKPXwpdii.jpg,There's no such thing as free cable.,96.0,5.994,2515.0,122
The Frighteners,1996-07-18,Horror|Comedy,en,"Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.",https://image.tmdb.org/t/p/w500/zcJbCMwFLJdn5OLjhYwMVaSB32R.jpg,No rest for the wicked.,110.0,6.917,1593.0,123
Lone Star,1996-06-21,Drama|Mystery|Romance,en,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",https://image.tmdb.org/t/p/w500/lBxY8znsRoqa9Dy2NCe8I6GPsRm.jpg,John Sayles invites you to return to the scene of the crime.,135.0,7.012,383.0,124
Phenomenon,1996-07-05,Drama|Romance|Science Fiction|Fantasy,en,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",https://image.tmdb.org/t/p/w500/roUYK9EXmgyDO48Qje7rZI4Qgav.jpg,Some things in life just can't be explained.,123.0,6.5,1225.0,125
The Spitfire Grill,1996-08-23,Comedy|Drama,en,"Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire Grill. Percy brings change to the small town, stirring resentment and fear in some, and growth in others.",https://image.tmdb.org/t/p/w500/8msETDMD6sxIkN3YtIFbCy23CBP.jpg,"To a town with no future, comes a girl with a past.",117.0,6.5,62.0,126
The Godfather,1972-03-14,Drama|Crime,en,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,An offer you can't refuse.,175.0,8.687,21638.0,127
Police Story 3: Super Cop,1992-07-04,Action|Crime|Thriller,cn,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,https://image.tmdb.org/t/p/w500/vquualEWaVJdvsu9jRdOfSki2Z2.jpg,"There's never a cop around when you need one, but when this cop's around, all you need is one.",95.0,6.9,525.0,128
Bound,1996-09-13,Drama|Thriller|Crime,en,"Corky, a tough female ex-convict working on an apartment renovation in a Chicago building, meets a couple living next door, Caesar, a paranoid mobster, and Violet, his seductive girlfriend, who is immediately attracted to her.",https://image.tmdb.org/t/p/w500/nfXU25TsAUsLMTJ6oHlgxPUcUOF.jpg,For money. For murder. For each other.,105.0,7.207,994.0,129
Kansas City,1996-08-16,Drama|Crime,en,A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.,https://image.tmdb.org/t/p/w500/deD8SAbQYGvzcpRr50HUb9uj8xJ.jpg,"Kansas City, 1934. Anything could happen here. One night it did.",116.0,6.2,84.0,130
Breakfast at Tiffany's,1961-10-06,Comedy|Romance|Drama,en,"Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way.",https://image.tmdb.org/t/p/w500/79xm4gXw4l7A5D0XukUOJRocFYQ.jpg,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!",115.0,7.642,4289.0,131
The Wizard of Oz,1939-08-15,Adventure|Fantasy|Family,en,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",https://image.tmdb.org/t/p/w500/pfAZFD7I2hxW9HCChTuAzsdE6UX.jpg,"We're off to see the Wizard, the wonderful Wizard of Oz!",102.0,7.591,5784.0,132
Gone with the Wind,1939-12-15,Drama|War|Romance,en,The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.,https://image.tmdb.org/t/p/w500/lNz2Ow0wGCAvzckW7EOjE03KcYv.jpg,The greatest romance of all time!,233.0,7.927,4167.0,133
Citizen Kane,1941-04-17,Mystery|Drama,en,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",https://image.tmdb.org/t/p/w500/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,Some called him a hero...others called him a heel.,119.0,7.999,5710.0,134
2001: A Space Odyssey,1968-04-02,Science Fiction|Mystery|Adventure,en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",https://image.tmdb.org/t/p/w500/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,An epic drama of adventure and exploration.,149.0,8.065,11936.0,135
Mr. Smith Goes to Washington,1939-10-19,Comedy|Drama,en,"After the death of a United States Senator, idealistic Jefferson Smith is appointed as his replacement in Washington. Soon, the naive and earnest new senator has to battle political corruption.",https://image.tmdb.org/t/p/w500/nDjg1fbNyq15excNDl3acd2IqAk.jpg,"Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!",129.0,7.85,1103.0,136
Big Night,1996-09-20,Drama|Romance,en,"Primo and Secondo, two immigrant brothers, pin their hopes on a banquet honoring Louis Prima to save their struggling restaurant.",https://image.tmdb.org/t/p/w500/8AJGSDyrj3Dz2B57n1ZB4qNPbmJ.jpg,"In love and life, one big night can change everything.",109.0,6.954,249.0,137
D3: The Mighty Ducks,1996-10-04,Comedy|Action|Family|Drama,en,The Ducks are offered scholarships at Eden Hall Academy but struggle with their new coach's methods and come under pressure from the board to retain their scholarships before their big game against the Varsity team.,https://image.tmdb.org/t/p/w500/wltMr1loUKSCaEV4EDgh21eCRI3.jpg,No Fear. No Limits. No Brakes. Just Ducks.,104.0,5.932,462.0,138
The Love Bug,1968-12-23,Comedy|Family|Fantasy,en,"Down-on-his-luck race car driver Jim Douglas teams up with a little VW Bug that has a mind of its own, not realizing Herbie's worth until a sneaky rival plots to steal him.",https://image.tmdb.org/t/p/w500/9Lc1efdYZUZia2zsRWcUkiD1KdN.jpg,Herbie will honk his way into your heart.,107.0,6.55,611.0,139
Homeward Bound: The Incredible Journey,1993-02-03,Adventure|Comedy|Family,en,"Before the Seavers leave for a family vacation to San Francisco, they drop off their pets -- Chance, an adventurous American bulldog; Shadow, a wise golden retriever; and Sassy, a cautious cat -- at a friend's ranch. But when the animals start to worry that they've been left for good, the three embark together on a treacherous and thrilling journey to find their way back home through the California wilderness.",https://image.tmdb.org/t/p/w500/el6dJEpK97OJRQiQhuiSGk2jkV5.jpg,"In the classic tradition of Walt Disney Pictures comes a story about courage, adventure and friendship.",84.0,6.967,1065.0,140
"20,000 Leagues Under the Sea",1954-12-23,Adventure|Science Fiction|Family,en,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",https://image.tmdb.org/t/p/w500/heAEH85fdxEgV98LizHbQCL95iZ.jpg,The mightiest motion picture of them all!,127.0,7.042,922.0,141
Bedknobs and Broomsticks,1971-10-07,Adventure|Fantasy|Comedy|Family|Music|Animation,en,Three children evacuated from London during World War II are forced to stay with an eccentric spinster. The children's initial fears disappear when they find out she is in fact a trainee witch.,https://image.tmdb.org/t/p/w500/1BBzsThIZ06UmjZ3rChYGZhJtFQ.jpg,You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!,117.0,7.032,986.0,142
The Sound of Music,1965-03-29,Drama|Family|Music|Romance,en,"In the years before the Second World War, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.",https://image.tmdb.org/t/p/w500/c6CrUZypAsBCaRWX0M3RVRDbhNS.jpg,The happiest sound in all the world!,174.0,7.727,3407.0,143
Die Hard,1988-07-15,Action|Thriller,en,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her offices Christmas Party, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",https://image.tmdb.org/t/p/w500/aJCpHDC6RoGz7d1Fzayl019xnxX.jpg,Twelve terrorists. One cop. The odds are against John McClane... That's just the way he likes it.,132.0,7.8,11582.0,144
The Lawnmower Man,1992-03-05,Science Fiction|Horror,en,A simple man is turned into a genius through the application of computer science.,https://image.tmdb.org/t/p/w500/aDACpFww9vkeyYOj5xrfJuxoQdK.jpg,God made him simple. Science made him a god.,108.0,5.6,780.0,145
Unhook the Stars,1996-09-04,Drama|Romance,en,"Widowed mother Mildred must suddenly redefine herself and find an outlet for her nurturing side when her adult daughter moves out of the family home. Though Mildred thinks she's found her purpose when her neighbor, overworked single mother Monica, asks her to look after her little boy, she has great difficulty learning to strike a healthy balance between giving selflessly to others and remembering to take care of herself.",https://image.tmdb.org/t/p/w500/xDa7qRS8iOY5XDvt0DRpwlAJO6H.jpg,When prim & proper meets wild & crazy get ready to...,103.0,5.9,42.0,146
The Long Kiss Goodnight,1996-10-11,Crime|Action|Mystery|Thriller,en,"Samantha Caine is a small-town schoolteacher and mom with no memory of her life before washing up on a beach eight years ago. After a car accident and a violent home invasion trigger flashes of her past, she discovers she used to be a deadly CIA assassin.  Teaming up with a wisecracking private investigator, Mitch, she uncovers a secret government plot to stage a terrorist attack in Niagara Falls. When her daughter is kidnapped, Samantha must return to her old ways to stop the attack, rescue her child, and take down the people who tried to erase her.",https://image.tmdb.org/t/p/w500/yREdXX5lMFUKhTvb0ofI7mzUHlR.jpg,What's forgotten is not always gone.,121.0,6.6,1239.0,147
The Ghost and the Darkness,1996-10-11,Adventure|Thriller|History,en,"Sir Robert Beaumont is behind schedule on a railroad in Africa. Enlisting noted engineer John Henry Patterson to right the ship, Beaumont expects results. Everything seems great until the crew discovers the mutilated corpse of the project's foreman, seemingly killed by a lion. After several more attacks, Patterson calls in famed hunter Charles Remington, who has finally met his match in the bloodthirsty lions.",https://image.tmdb.org/t/p/w500/3KEPs6RKlin9pT9fqjtW7MSLC8H.jpg,Prey For The Hunters,109.0,6.8,1081.0,148
Jude,1996-02-06,Drama|Romance,en,"In late 19th-century England, Jude aspires to be an academic, but is hobbled by his blue-collar background. Instead, he works as a stonemason and is trapped in an unloving marriage to a farmer's daughter named Arabella. But when his wife leaves him, Jude sees an opportunity to improve himself. He moves to the city and begins an affair with his married cousin, Sue, courting tragedy every step of the way.",https://image.tmdb.org/t/p/w500/tk0e0aWtUSIxRKp8jEY1nZOnuVp.jpg,A time without pity. A society without mercy. A love without equal.,123.0,6.3,132.0,149
Swingers,1996-10-18,Comedy|Drama,en,"After 6 years together, Mike's girlfriend leaves him, so he travels to LA to be a star. Six months on, he's still not doing very well— so a few of his friends try to reconnect him to the social scene and hopefully help him forget his failed relationship.",https://image.tmdb.org/t/p/w500/rRjWk68kU3a2so4lgr3TKB7Y5vA.jpg,Cocktails first. Questions later.,96.0,6.864,763.0,150
Willy Wonka & the Chocolate Factory,1971-06-29,Family|Fantasy|Comedy,en,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.",https://image.tmdb.org/t/p/w500/vmpsZkrs4Uvkp9r1atL8B3frA63.jpg,It's Scrumdidilyumptious!,99.0,7.48,3736.0,151
Sleeper,1973-12-17,Comedy|Science Fiction,en,"Miles Monroe, a clarinet-playing health food store proprietor, is revived out of cryostasis 200 years into a future world in order to help rebels fight an oppressive government regime.",https://image.tmdb.org/t/p/w500/vVpUfsHuZecO7FlCtDBQd2ullyq.jpg,Woody Allen takes a nostalgic look at the future.,87.0,6.899,799.0,152
A Fish Called Wanda,1988-07-15,Comedy|Crime,en,"While a diamond advocate attempts to steal a collection of diamonds, troubles arise when he realises he’s not the only one after the collection.",https://image.tmdb.org/t/p/w500/hkSGFNVfEEUXFCxRZDITFHVhUlu.jpg,"A tale of murder, lust, greed, revenge, and seafood.",109.0,7.209,2276.0,153
Life of Brian,1979-08-17,Comedy,en,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",https://image.tmdb.org/t/p/w500/lSSA64WF0M0BXnjwr2quMh6shCl.jpg,He's not the messiah...he's just a naughty boy.,94.0,7.759,4612.0,154
Dirty Dancing,1987-08-21,Drama|Music|Romance,en,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",https://image.tmdb.org/t/p/w500/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,First dance. First love. The time of your life.,100.0,7.331,6287.0,155
Reservoir Dogs,1992-09-02,Crime|Thriller,en,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",https://image.tmdb.org/t/p/w500/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,Every dog has his day.,99.0,8.119,14720.0,156
Platoon,1986-12-19,Drama|War|Action,en,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",https://image.tmdb.org/t/p/w500/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,The first casualty of war is innocence.,120.0,7.747,4762.0,157
Weekend at Bernie's,1989-07-05,Comedy|Crime,en,"Two young insurance corporation employees try to pretend that their murdered employer is alive by puppeteering his dead body, leading a hitman to attempt to track him down to finish him off.",https://image.tmdb.org/t/p/w500/4RtjBkBSqHG46uieHgTtM7oKlpo.jpg,"Bernie may be dead, but he's still the life of the party!",97.0,6.395,1067.0,158
Basic Instinct,1992-03-20,Thriller|Mystery,en,"Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.",https://image.tmdb.org/t/p/w500/76Ts0yoHk8kVQj9MMnoMixhRWoh.jpg,A brutal murder. A brilliant killer. A cop who can't resist the danger.,128.0,6.93,4082.0,159
Glengarry Glen Ross,1992-09-10,Crime|Drama|Mystery,en,"When an office full of real estate salesmen is given the news that all but the top two will be fired at the end of the week, the atmosphere begins to heat up. Shelley Levene, who has a sick daughter, does everything in his power to get better leads from his boss, John Williamson, but to no avail. When his coworker Dave Moss comes up with a plan to steal the leads, things get complicated for the tough-talking salesmen.",https://image.tmdb.org/t/p/w500/nGZCeCfNseq1ee3cJLBp0rH0djT.jpg,A story for everyone who works for a living.,100.0,7.342,1472.0,160
Top Gun,1986-05-16,Action|Drama,en,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",https://image.tmdb.org/t/p/w500/xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,Up there with the best of the best.,110.0,7.062,9002.0,161
On Golden Pond,1981-12-04,Drama|Romance,en,"For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years.",https://image.tmdb.org/t/p/w500/ic4f03J6pnf9cpQmVDABFhUpbCU.jpg,When life is at its finest... when love is at its fullest...,109.0,7.242,482.0,162
"Return of the Pink Panther, The",,,,,,,,,,163
The Abyss,1989-08-09,Adventure|Thriller|Science Fiction,en,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",https://image.tmdb.org/t/p/w500/2dCit3XAtv9KWCJvRKdPkJ0FAkH.jpg,"When you get there, you will understand.",140.0,7.353,3158.0,164
Jean de Florette,1986-08-27,Drama,fr,"In a rural French village, an old man and his only remaining relative cast their covetous eyes on an adjoining vacant property. They need its spring water for growing their flowers, and are dismayed to hear that the man who has inherited it is moving in. They block up the spring and watch as their new neighbour tries to keep his crops watered from wells far afield through the hot summer. Though they see his desperate efforts are breaking his health and his wife and daughter's hearts, they think only of getting the water.",https://image.tmdb.org/t/p/w500/r9UAevVU0lhRKNGlxXXUeKiRwtM.jpg,"For some men, land and water are more precious than flesh and blood.",121.0,7.7,581.0,165
Manon of the Spring,1986-11-19,Drama,fr,"In this, the sequel to Jean de Florette, Manon has grown into a beautiful young shepherdess living in the idyllic Provencal countryside. She plots vengeance on the men who greedily conspired to acquire her father's land years earlier.",https://image.tmdb.org/t/p/w500/1qpu6Zc1PSDL3UbDNIZJ6YuhJDW.jpg,They destroyed her father. Now they offered her love. But the only thing she desired was revenge.,113.0,7.6,528.0,166
Private Benjamin,1980-10-06,Comedy,en,A sheltered young high society woman joins the US Army on a whim and finds herself in a more difficult situation than she ever expected.,https://image.tmdb.org/t/p/w500/maIiPNXddZXKHQCi0HyULd5kces.jpg,The Army was no laughing matter until Judy Benjamin joined it.,110.0,5.968,395.0,167
Monty Python and the Holy Grail,,,,,,,,,,168
The Wrong Trousers,1993-12-17,Animation|Comedy|Family,en,"Wallace rents out Gromit's former bedroom to a penguin, who takes up an interest in the techno pants created by Wallace. However, Gromit later learns that the penguin is a wanted criminal.  Preserved by the Academy Film Archive.",https://image.tmdb.org/t/p/w500/mV8SDTjkxrDxu0a0egvFz1lRPU7.jpg,They’ll crack any case,30.0,7.806,1079.0,169
Cinema Paradiso,1988-11-17,Drama|Romance,it,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",https://image.tmdb.org/t/p/w500/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.,124.0,8.435,4563.0,170
Delicatessen,1991-04-17,Comedy|Science Fiction|Fantasy,fr,"In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes.",https://image.tmdb.org/t/p/w500/gNtOgQHxE5B8e08zuNRAdDpmK5Z.jpg,A futuristic comic feast.,99.0,7.291,1528.0,171
The Empire Strikes Back,1980-05-20,Adventure|Action|Science Fiction,en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",https://image.tmdb.org/t/p/w500/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,The Star Wars saga continues.,124.0,8.395,17543.0,172
The Princess Bride,1987-09-25,Adventure|Family|Fantasy|Comedy|Romance,en,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",https://image.tmdb.org/t/p/w500/dvjqlp2sAhUeFjUOfQDgqwpphHj.jpg,It's as real as the feelings you feel.,99.0,7.685,4764.0,173
Raiders of the Lost Ark,1981-06-12,Adventure|Action,en,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,The return of the great adventure.,115.0,7.925,12958.0,174
Brazil,1985-02-20,Comedy|Science Fiction,en,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",https://image.tmdb.org/t/p/w500/aewan59WcFThBimkTVVoNf2o5Vb.jpg,It's only a state of mind.,143.0,7.666,3444.0,175
Aliens,1986-07-18,Action|Thriller|Science Fiction,en,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",https://image.tmdb.org/t/p/w500/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg,This time it's war.,137.0,7.953,10210.0,176
"The Good, the Bad and the Ugly",1966-12-22,Western,it,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,For three men the Civil War wasn't hell. It was practice.,161.0,8.465,9086.0,177
12 Angry Men,1957-04-10,Drama,en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,Life is in their hands — Death is on their minds!,97.0,8.549,9260.0,178
A Clockwork Orange,1971-12-19,Science Fiction|Crime,en,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",https://image.tmdb.org/t/p/w500/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",137.0,8.186,13249.0,179
